Email, First Name, Last Name, Phone Number, Address
jSmith@email.com,John,Smith,(123)123-1234,2121 S. Bend st. Ann Arbor MI 48883
sDarsh@email.com,Steve,Darsh,(111)111-1111,987 N. Spring rd. South Park CO 79890
jstevens@mail.com,Josh,Setevens,(732)222-2222,1213 road st. Detroit MI 48226
amakar@ltu.edu,Andrew,Mahar,(555)555-5555,21000 w. 10 mile rd. Southfield MI 48126
mmouse@email.com,Mickey,Mouse,(321)123-1234,1 Disney rd. Awesome US 00000
tSoprano@email.com,Tony,Soprano,333-222-2222,909 Mafia rd. SomeCity MI 48883
jbravo@email.com,Johnny,Bravo,111-9675309,87 Cartoon ntw. Canton MI 48188
jStanford@email.com,Jay,Stanford,777-777-7777,12 awesome rd. City CO 99233
eEleven@email.edu,El,Eleven,(555)555-5555,1 upside down rd. Upsidedown OH 11200
jWick.com,John,Wick,(734)732-6308,9999 youhurtmydog KillYou US 00000
aBaldwin@email.com,Alex,Baldwin,999-000-0000,4444 some street Dearborn MI 48126
tJones@mail.com,Tom,Jones,(989)999-8754,1000 N. Spring rd. South Park CO 79890
oTest@email.com,Oliver,Test,(732)222-8822,1 international dr. Dearborn MI 48126
dWinchester@email.edu,Dean,Winchester,999-121-1111,120 Supernatural. Plymouth MI 48170
sWinchester@email.com,Sam,Winchester,987-101-9900,120 Supernatural. Plymouth MI 48170
tSorrano@email.com,Tony,Sorrento,333-222-2222,1000 Mafia rd. SomeCity MI 48883
bStenson@email.com,Barnie,Stenson,123-000-1111,13 Legendary dr. Lincoln NE 99999
sFranklin@email.com,Sandy,Franklin,765-890-7777,9999 somewhere. Boston MA 12321
cJeffries@email.com,Christina,Jeffries,(212)888-9999,1232 Old Bridge. Canton MI 48188
rmedoro@ltu.edu,Romeo,Medoro,(734)732-6308,1556 Old Bridge ct. Canton MI 48188
