Show Title, Show Type, Performance Date, Booking Date, Fee, ClientID, Client, Performance Address, Performance City, Performance State, Performance Zip
Rock the halls,Rock,10/20/2017,Sat Dec 02 21:31:08 EST 2017,200.0,jSmith@email.com,John Smith,123 North Ave,Southfield,MI,48199
Laugh out loud,Comedy,10/25/2017,Sat Dec 02 21:31:08 EST 2017,150.0,sDarsh@email.com,Steve Darsh,2100 Fourth st,Ann Arbor,MI,48129
Magic Kingdom,Magic,10/31/2017,Sat Dec 02 21:31:08 EST 2017,275.79,jstevens@mail.com,Josh Setevens,1911 ruger st,Detroit,MI,48226
Enchantment,Magic,11/10/2017,Sat Dec 02 21:31:08 EST 2017,500.0,amakar@ltu.edu,Andrew Mahar,The Palace,Auburn Hills,MI,49001
Rock Fest,Rock,11/20/2017,Sat Dec 02 21:31:08 EST 2017,875.91,mmouse@email.com,Mickey Mouse,Ford Field,Detroit,MI,48126
Raw & Uncensored,Comedy,11/25/2017,Sat Dec 02 21:31:08 EST 2017,300.0,tSoprano@email.com,Tony Soprano,1898 Laugh Ave,SomeCity,OH,27293
Hall of Shame,Comedy,11/28/2017,Sat Dec 02 21:31:08 EST 2017,978.12,jbravo@email.com,Johnny Bravo,87 Cartoon rd.,Canton,MI,48188
Battling Magicians,Magic,11/30/2017,Sat Dec 02 21:31:08 EST 2017,1000.0,jStanford@email.com,Jay Stanford,12 awesome rd.,City,CO,99233
Evil Rock,Rock,11/30/2017,Sat Dec 02 21:31:08 EST 2017,1008.99,eEleven@email.edu,El Eleven,1833 Rock st.,Vail City,OH,11200
The sound of Music,Rock,12/01/2017,Sat Dec 02 21:31:08 EST 2017,750.55,jWick.com,John Wick,9091 Ocean rd.,New Boston,CT,55009
The Greatest Act,Magic,12/10/2017,Sat Dec 02 21:31:08 EST 2017,764.98,aBaldwin@email.com,Alex Baldwin,St. Andrew's,Detroit,MI,48126
Try not to laugh,Comedy,12/15/2017,Sat Dec 02 21:31:08 EST 2017,1343.0,tJones@mail.com,Tom Jones,1000 N. Spring rd.,South Park,CO,79890
Holy Guitars,Rock,12/20/2017,Sat Dec 02 21:31:08 EST 2017,650.0,oTest@email.com,Oliver Test,7777 Tesla drive,Dearborn,MI,48126
How Does He Do it,Magic,12/21/2017,Sat Dec 02 21:31:08 EST 2017,350.0,dWinchester@email.edu,Dean Winchester,1965 Shelby rd.,Plymouth,MI,48170
King of Laughter,Comedy,12/23/2017,Sat Dec 02 21:31:08 EST 2017,399.15,sWinchester@email.com,Sam Winchester,1111 Try Me st.,Plymouth,MA,19192
Stranger Things,Rock,12/24/2017,Sat Dec 02 21:31:08 EST 2017,1123.0,tSorrano@email.com,Tony Sorrento,6464 Rcky Road,SomeCity,FL,22931
Santa's Magic Workshop,Magic,12/26/2017,Sat Dec 02 21:31:08 EST 2017,750.0,bStenson@email.com,Barnie Stenson,454 Santa street,Lincoln,NE,99999
Get Loud,Rock,12/28/2017,Sat Dec 02 21:31:08 EST 2017,1445.0,sFranklin@email.com,Sandy Franklin,898 Woodward Ave.,Boston,MA,12321
Funny Elf,Comedy,12/30/2017,Sat Dec 02 21:31:08 EST 2017,1900.0,cJeffries@email.com,Christina Jeffries,4911 JavaLang st.,San Francisco,CA,9009
New Year Bash,Rock,12/31/2017,Sat Dec 02 21:31:08 EST 2017,2000.0,rmedoro@ltu.edu,Romeo Medoro,Ford Field,Detroit,MI,48226
